test_date,primary,cohort_name,n_members,window_start,window_end,intra_corr_1y,pc1_variance_pct,p_independence_intra,p_random_basket_intra,p_random_basket_pc1,n_permutations,holdout_window,train_intra,test_intra,train_pc1_pct,test_pc1_pct,stability_ratio,threshold_stable_width,threshold_stable_ranges,definition_date,oos_start,oos_end,oos_obs,oos_intra,oos_pc1_pct,oos_vs_insample_ratio,p_oos_random_basket,oos_verdict,p_vol_matched_intra,p_vol_matched_pc1
2026-06-10,V,Payments,8,2025-04-30,2026-04-30,0.3954,47.88,,0.0005999400059994001,0.0015998400159984002,10000,2y,0.5953,0.3937,65.27,47.73,0.6614,0.0,none,2026-05-03,2026-05-05,2026-06-10,24,0.4529,52.59,1.1484,0.0001,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,CRWD,Platform cyber,3,2025-04-30,2026-04-30,0.6882,79.25,,0.00029997000299970003,0.00019998000199980003,10000,2y,0.6504,0.6879,76.74,79.23,1.0576,0.0,none,2026-05-03,2026-05-05,2026-06-10,24,0.6857,79.32,0.9994,0.0011,PRELIMINARY OOS-CONFIRMED,,
2026-06-10,CRWD,Security control points (SCP),6,2025-04-30,2026-04-30,0.5441,62.46,,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.561,0.5439,63.7,62.44,0.9694,0.0,none,2026-05-03,2026-05-05,2026-06-10,24,0.5462,65.07,1.0025,0.0001,PRELIMINARY OOS-CONFIRMED,,
2026-06-10,RKLB,Space pure-plays,7,2025-06-03,2026-06-03,0.5731,63.68,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.389,0.5724,49.33,63.62,1.4712,0.05,0.45-0.50,2026-05-10,2026-05-12,2026-06-10,19,0.6715,72.03,1.1928,0.000102,PRELIMINARY OOS-STRENGTHENING,9.999000099990002e-05,9.999000099990002e-05
2026-06-10,MU,US Memory,3,2025-05-08,2026-05-08,0.7031,80.22,,9.999000099990002e-05,9.999000099990002e-05,10000,2y,nan,0.7024,nan,80.18,,0.1,0.35-0.45,2026-05-11,2026-05-12,2026-06-10,19,0.8244,88.33,1.1781,0.0002,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,ASML,WFE quartet,4,2025-04-30,2026-04-30,0.7973,84.85,,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.9269,0.7971,94.55,84.83,0.8599,0.0,0.25-0.25,2026-05-03,2026-05-05,2026-06-10,24,0.8811,91.1,1.1031,0.0001,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,SCHW,Wealth managers basket,4,2025-04-30,2026-04-30,0.5032,64.3,,0.001999800019998,0.001999800019998,10000,2y,0.8539,0.503,89.08,64.28,0.5891,0.0,none,2026-05-03,2026-05-05,2026-06-10,24,0.6533,74.23,1.3,0.0001,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,NVDA,AI Compute,3,,,,,,,,,,,,,,,,,2026-05-11,2026-05-12,2026-06-10,19,0.5869,73.16,1.0542,0.011199,PRELIMINARY OOS-CONFIRMED,,
2026-06-10,WTW,AI financial disintermediation basket (AIFD),10,2025-04-30,2026-04-30,0.3317,44.01,,0.004299570042995701,0.0022997700229977,10000,2y,0.6108,0.3317,65.21,44.07,0.543,0.0,none,2026-05-03,2026-05-05,2026-06-10,24,0.4246,54.62,1.2855,0.0002,PRELIMINARY OOS-STRENGTHENING,,
2026-06-10,CEG,AI-power IPPs,4,2025-06-10,2026-06-10,0.7729,82.99,9.999000099990002e-05,0.0001,9.999000099990002e-05,10000,2y,0.8462,0.7729,88.52,82.99,0.9134,0.25,0.25-0.50,,,,,,,,,,9.999000099990002e-05,9.999000099990002e-05
2026-06-10,ETN,Power equipment complex,4,2025-06-10,2026-06-10,0.6499,73.82,9.999000099990002e-05,0.0001,9.999000099990002e-05,10000,2y,0.7855,0.6499,84.02,73.82,0.8274,0.0,none,,,,,,,,,,9.999000099990002e-05,9.999000099990002e-05
2026-06-12,SEI,Speed-to-power,3,2025-06-10,2026-06-10,0.4337,62.48,9.999000099990002e-05,0.007099290070992901,0.008799120087991202,10000,,,,,,,0.0,none,,,,,,,,,,,
2026-06-12,PAX,Alt-asset managers,8,2025-06-10,2026-06-10,0.698,74.24,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,10000,,,,,,,0.0,none,,,,,,,,,,,
2026-06-12,LION,Studios & premium content,5,2025-06-10,2026-06-10,0.1742,35.15,9.999000099990002e-05,0.2743725627437256,0.3518648135186481,10000,,,,,,,0.0,none,,,,,,,,,,,
2026-06-12,STRZ,Premium subscription content,5,2025-06-10,2026-06-10,0.2055,38.2,9.999000099990002e-05,0.1568843115688431,0.17478252174782521,10000,,,,,,,0.0,none,,,,,,,,,,,
2026-06-12,CRM,AI SaaS disruption basket,6,2025-06-10,2026-06-10,0.7031,75.39,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.7821,0.7031,81.87,75.39,0.899,0.0,none,,,,,,,,,,,
2026-06-12,ITUB,Brazilian banks,3,2025-06-10,2026-06-10,0.8467,89.79,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,10000,,,,,,,0.0,none,,,,,,,,,,,
2026-06-12,BABA,Chinese internet platforms,5,2025-06-10,2026-06-10,0.5094,61.25,9.999000099990002e-05,0.00039996000399960006,0.0005999400059994001,10000,,,,,,,0.0,none,,,,,,,,,,,
2026-06-13,SNOW,Consumption data-infra SaaS,3,2025-06-12,2026-06-12,0.5527,70.19,9.999000099990002e-05,0.0025997400259974,0.0027997200279972004,10000,2y,0.6348,0.5524,75.67,70.18,0.8702,0.0,none,,,,,,,,,,,
2026-06-13,OKLO,Nuclear / SMR,7,2025-06-12,2026-06-12,0.6047,66.46,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.6132,0.6114,67.14,67.02,0.9971,0.0,none,,,,,,,,,,9.999000099990002e-05,9.999000099990002e-05
2026-06-13,LDOS,Defense IT services,4,2025-06-12,2026-06-12,0.5978,69.88,9.999000099990002e-05,0.00039996000399960006,0.00039996000399960006,10000,2y,0.7072,0.5994,78.18,69.99,0.8475,0.04,0.44-0.48,,,,,,,,,,9.999000099990002e-05,9.999000099990002e-05
2026-06-13,RHM.DE,European rearmament,7,2025-06-12,2026-06-12,0.6494,71.17,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.6288,0.6494,68.5,71.17,1.0328,0.05,0.60-0.65,,,,,,,,,,9.999000099990002e-05,9.999000099990002e-05
2026-06-13,CME,Exchange operators,4,2025-06-12,2026-06-12,0.3775,53.47,9.999000099990002e-05,0.019498050194980503,0.0244975502449755,10000,2y,0.3635,0.3785,52.55,53.56,1.0414,0.0,none,,,,,,,,,,0.023997600239976002,0.031596840315968405
2026-06-14,SPGI,Financial data providers,7,2025-06-12,2026-06-12,0.6067,66.54,9.999000099990002e-05,9.999000099990002e-05,9.999000099990002e-05,10000,2y,0.7442,0.6067,78.46,66.54,0.8152,0.0,none,,,,,,,,,,9.999000099990002e-05,9.999000099990002e-05
2026-06-14,MDT,Medtech,7,2025-06-12,2026-06-12,0.3284,43.03,9.999000099990002e-05,0.009599040095990401,0.019498050194980503,10000,2y,0.3879,0.3292,49.51,43.15,0.8487,0.0,none,,,,,,,,,,0.014298570142985701,0.023897610238976102
2026-06-14,NVDA,Fabless semiconductor,5,2025-06-12,2026-06-12,0.4116,53.34,9.999000099990002e-05,0.0035996400359964,0.0053994600539946005,10000,2y,0.71,0.4116,76.9,53.34,0.5797,0.0,none,,,,,,,,,,0.0005999400059994001,0.000999900009999
2026-06-14,AMC,Theatrical exhibition,3,2025-06-11,2026-06-11,0.3276,55.52,9.999000099990002e-05,0.09989001099890012,0.10798920107989202,10000,2y,0.4054,0.3276,61.37,55.52,0.8079,0.0,none,,,,,,,,,,,
2026-06-14,NU,Brazil fintech,5,2025-06-12,2026-06-12,0.57,66.08,9.999000099990002e-05,9.999000099990002e-05,0.0004999500049995,10000,2y,0.555,0.57,65.02,66.08,1.0271,0.0,none,,,,,,,,,,9.999000099990002e-05,9.999000099990002e-05
2026-06-14,CRWV,Neoclouds,5,2025-06-12,2026-06-12,0.6235,69.92,9.999000099990002e-05,0.00019998000199980003,0.00019998000199980003,10000,2y,nan,0.6235,nan,69.92,,0.0,none,,,,,,,,,,0.00019998000199980003,0.00019998000199980003
2026-06-14,COHR,AI optics / networking,4,2025-06-12,2026-06-12,0.4839,61.33,9.999000099990002e-05,0.0022997700229977,0.0031996800319968005,10000,2y,0.6632,0.4835,74.76,61.3,0.7292,0.0,none,,,,,,,,,,0.00019998000199980003,0.00019998000199980003
2026-06-14,4063.T,Japan semi materials,5,2025-06-12,2026-06-12,0.3587,48.91,9.999000099990002e-05,0.0165983401659834,0.026097390260973904,10000,2y,0.6072,0.358,68.83,48.86,0.5895,0.0,none,,,,,,,,,,0.0064993500649935,0.011998800119988001
